# este archivo son los resultado de los trials del modelo B de optuna 

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
168,0.553902247794955,2026-07-23 20:40:35.927075,2026-07-23 20:40:37.383768,0 days 00:00:01.456693,0.7987733827849846,0.019815037324732918,7,291,3.2945998841940844,0.6648843718249624,COMPLETE
169,0.5529899641047669,2026-07-23 20:40:37.384593,2026-07-23 20:40:38.936545,0 days 00:00:01.551952,0.7491219576376235,0.018114841090244763,7,303,3.5087297661335306,0.6641657559701881,COMPLETE
170,0.5528180251175779,2026-07-23 20:40:38.937313,2026-07-23 20:40:40.415606,0 days 00:00:01.478293,0.7731813264205523,0.019912878562739034,7,268,3.201531641678132,0.6500045057650086,COMPLETE
171,0.5533511640640499,2026-07-23 20:40:40.416367,2026-07-23 20:40:41.713578,0 days 00:00:01.297211,0.8027380945193916,0.015214649547032952,7,298,3.2864734638487105,0.6366630942327036,COMPLETE
172,0.5545930950613036,2026-07-23 20:40:41.714493,2026-07-23 20:40:43.408221,0 days 00:00:01.693728,0.7855200878285048,0.017485379214275846,7,289,3.3392427049400784,0.6560719574433357,COMPLETE
173,0.5539280892194604,2026-07-23 20:40:43.409066,2026-07-23 20:40:45.043388,0 days 00:00:01.634322,0.7850187968243302,0.01925176585459582,7,282,3.351022612282893,0.656499690933543,COMPLETE
174,0.5529228051025874,2026-07-23 20:40:45.044173,2026-07-23 20:40:46.818837,0 days 00:00:01.774664,0.7850238935599424,0.020829686661521445,7,284,3.3723468358172415,0.6544738203366731,COMPLETE
175,0.5525823282922556,2026-07-23 20:40:46.819707,2026-07-23 20:40:48.454597,0 days 00:00:01.634890,0.7675407845790108,0.01926441989386336,7,279,3.3338534422983757,0.6662562165437255,COMPLETE
176,0.5511600013896035,2026-07-23 20:40:48.455567,2026-07-23 20:40:49.960972,0 days 00:00:01.505405,0.7836652357391451,0.022291151274113605,7,316,3.558727967768484,0.6161493434860942,COMPLETE
177,0.5504705119618124,2026-07-23 20:40:49.961820,2026-07-23 20:40:51.527329,0 days 00:00:01.565509,0.7917490235612258,0.018281261037535506,7,233,3.4335196099475467,0.8917950140231176,COMPLETE
178,0.5518438160592892,2026-07-23 20:40:51.528115,2026-07-23 20:40:53.053092,0 days 00:00:01.524977,0.7772827270934947,0.017561497357884606,7,258,3.6640726358909204,0.6441524233734387,COMPLETE
179,0.553694547451224,2026-07-23 20:40:53.053947,2026-07-23 20:40:54.605247,0 days 00:00:01.551300,0.7606777510465885,0.01587125157413481,7,266,3.23998604206672,0.6702172689170806,COMPLETE
180,0.5532977005358422,2026-07-23 20:40:54.606018,2026-07-23 20:40:56.150459,0 days 00:00:01.544441,0.7591214481719367,0.016076513982691897,7,245,3.216728868893017,0.6762477731797919,COMPLETE
181,0.5479863917886283,2026-07-23 20:40:56.151501,2026-07-23 20:40:57.603476,0 days 00:00:01.451975,0.7638716294310516,0.012960709169038909,7,272,3.3321154359844165,0.6551547338388815,COMPLETE
182,0.5460341189557103,2026-07-23 20:40:57.604415,2026-07-23 20:40:58.808683,0 days 00:00:01.204268,0.7438057573325326,0.014608333394147917,7,305,3.2574500983578587,0.6690254393794284,COMPLETE
183,0.5525408291502233,2026-07-23 20:40:58.809453,2026-07-23 20:41:00.263235,0 days 00:00:01.453782,0.7756109093589643,0.019447243246656597,7,291,3.1718710352254473,0.6544716887511738,COMPLETE
184,0.5499799379982727,2026-07-23 20:41:00.263993,2026-07-23 20:41:01.909106,0 days 00:00:01.645113,0.7864147127073329,0.016994562456054026,7,228,3.386509129258943,0.9298988194403255,COMPLETE
185,0.5546970458240092,2026-07-23 20:41:01.909914,2026-07-23 20:41:03.461786,0 days 00:00:01.551872,0.7548911249733132,0.015832507263973887,7,264,3.313409421673644,0.6454694271289568,COMPLETE
186,0.5484310384064114,2026-07-23 20:41:03.462494,2026-07-23 20:41:04.845677,0 days 00:00:01.383183,0.7536828554667567,0.016040123763348128,7,255,3.763437137461747,0.660761352345623,COMPLETE
187,0.5538877467076744,2026-07-23 20:41:04.846398,2026-07-23 20:41:06.282290,0 days 00:00:01.435892,0.806958329149871,0.018119040587879973,7,266,3.2379449272464185,0.6476953642061012,COMPLETE
188,0.5525505771177569,2026-07-23 20:41:06.283323,2026-07-23 20:41:07.774356,0 days 00:00:01.491033,0.8055060684157369,0.01833597908546515,7,239,3.1685102292230796,0.6316058299078442,COMPLETE
189,0.5540537506417961,2026-07-23 20:41:07.775158,2026-07-23 20:41:09.212589,0 days 00:00:01.437431,0.8152424937199659,0.020027467099283817,7,283,3.306893041699262,0.6467715075256332,COMPLETE
190,0.5541086129148937,2026-07-23 20:41:09.213338,2026-07-23 20:41:10.744132,0 days 00:00:01.530794,0.7962986771297647,0.017339117220069967,7,284,3.441416879620518,0.6446427983579651,COMPLETE
191,0.5537594264059725,2026-07-23 20:41:10.744926,2026-07-23 20:41:12.258898,0 days 00:00:01.513972,0.7958321747127032,0.017584261162344905,7,297,3.427678715668706,0.6438146896952041,COMPLETE
192,0.55122870072332,2026-07-23 20:41:12.259672,2026-07-23 20:41:13.528091,0 days 00:00:01.268419,0.8101465724567701,0.01983861933145848,7,288,3.5062585106278936,0.6253203794006726,COMPLETE
193,0.5536397420439602,2026-07-23 20:41:13.529034,2026-07-23 20:41:14.937469,0 days 00:00:01.408435,0.7913343997348582,0.016800942100607032,7,281,3.303796725717443,0.6381088216112332,COMPLETE
194,0.5515258328146238,2026-07-23 20:41:14.938199,2026-07-23 20:41:16.339447,0 days 00:00:01.401248,0.7984858263196698,0.023467191337281573,7,266,3.3894711752904336,0.648514062180744,COMPLETE
195,0.5531506656681314,2026-07-23 20:41:16.340213,2026-07-23 20:41:17.715092,0 days 00:00:01.374879,0.817479233321813,0.020921269631616383,7,305,3.3059354411674406,0.6564376305502019,COMPLETE
196,0.5533778832381137,2026-07-23 20:41:17.715906,2026-07-23 20:41:19.374711,0 days 00:00:01.658805,0.7815527047246916,0.015284534091026687,7,255,3.2517067156673582,0.6275664337429775,COMPLETE
197,0.5535623301747145,2026-07-23 20:41:19.375536,2026-07-23 20:41:20.685253,0 days 00:00:01.309717,0.8097028489350756,0.01903772983713507,7,274,3.469236470926541,0.637512023878157,COMPLETE
198,0.5536719293899198,2026-07-23 20:41:20.686086,2026-07-23 20:41:22.236623,0 days 00:00:01.550537,0.8013384100093285,0.017492594146988248,7,288,3.3551729176878284,0.6460994808035784,COMPLETE
199,0.5529997429753023,2026-07-23 20:41:22.237514,2026-07-23 20:41:23.573095,0 days 00:00:01.335581,0.7868860232498042,0.015001814137406,7,263,3.2930502163430404,0.6629961475813908,COMPLETE
200,0.5541862499859108,2026-07-23 20:41:23.573951,2026-07-23 20:41:25.251961,0 days 00:00:01.678010,0.7942359627821349,0.01661672409146404,7,245,3.2305918430606195,0.6526913018200747,COMPLETE
201,0.5542101803280067,2026-07-23 20:41:25.252702,2026-07-23 20:41:26.772055,0 days 00:00:01.519353,0.7937951179223359,0.016484954514685332,7,246,3.251947397272823,0.6482085515071835,COMPLETE
202,0.5528737006646826,2026-07-23 20:41:26.772833,2026-07-23 20:41:28.356595,0 days 00:00:01.583762,0.7929323035044382,0.01645728327475457,7,247,3.2570511925833134,0.6343217257996985,COMPLETE
203,0.552274424892741,2026-07-23 20:41:28.357359,2026-07-23 20:41:29.896796,0 days 00:00:01.539437,0.7790195948490775,0.016734270662184858,7,279,3.403977189386438,0.6524041028169101,COMPLETE
204,0.5544039264162474,2026-07-23 20:41:29.897527,2026-07-23 20:41:31.501093,0 days 00:00:01.603566,0.799356983642304,0.01784273802756454,7,316,3.110902201596888,0.6441175719727643,COMPLETE
205,0.5540840573485432,2026-07-23 20:41:31.502220,2026-07-23 20:41:33.066500,0 days 00:00:01.564280,0.8010747794722594,0.017710185014573217,7,295,3.1117304243195183,0.6401717860283629,COMPLETE
